지점명	아파트명	준공년월	세대	distance	매매가하한	매매가상한
스타벅스 대구황금DT점	대구수성SK리더스뷰아파트	2010.09	788.0	0.2520421268695906	925000000.0	1890000000.0
스타벅스 수원인계DT점	인계베스트빌아파트	2004.08	64.0	0.3631316999581264	195000000.0	210000000.0
스타벅스 동두천DT점	동원베네스트아파트	2009.07	486.0	0.15629782329150135	205000000.0	310000000.0
스타벅스 대전터미널DT점	효촌마을아파트	2003.04	818.0	0.2428199877156041	170000000.0	280000000.0
스타벅스 수지성복DT점	수지LG빌리지1차아파트	2001.02	1164.0	0.429604596640826	750000000.0	980000000.0
스타벅스 대구수성도서관DT점	메트로팔레스3단지아파트	2003.01	878.0	0.33897591648358144	410000000.0	720000000.0
스타벅스 동명대DT점	한신문화타운	1990.1	330.0	0.22420082626060425	190000000.0	400000000.0
스타벅스 의왕청계DT점	인덕원푸르지오엘센트로	2019.11	1774.0	0.4639199877640491	1015000000.0	1235000000.0
스타벅스 제주도남DT점	영도그린힐아파트			1.2493201361648263		
스타벅스 구미금오산DT점	푸르지오캐슬A단지아파트	2007.08	1878.0	1.4351349026461155	158000000.0	415000000.0
스타벅스 울산MBC DT점	번영로효성해링턴플레이스	2015.09	207.0	0.7009357903586653	375000000.0	440000000.0
스타벅스 제주중문DT점	제주중문남해오네뜨오션힐	2016.11	290.0	1.2716426147371986	257000000.0	299000000.0
스타벅스 수원경수인계DT점	해피포트아파트	2004.01	19.0	0.2903743139309111	600000000.0	600000000.0
스타벅스 대구중동DT점	수성동삼익맨션	1978.12	100.0	0.4512571173900023	150000000.0	235000000.0
스타벅스 인천서구청DT점	연희극동늘푸른아파트	1997.08	998.0	0.3048442633010807	175000000.0	260000000.0
스타벅스 구미도량DT점	구미도량지구현진에버빌	2005.12	580.0	0.28292753906821216	220000000.0	370000000.0
스타벅스 전남광양DT점	광양e편한세상아파트	2016.06	440.0	0.3816468894162156	255000000.0	310000000.0
스타벅스 충주시청DT점	충주센트럴푸르지오	2018.1	608.0	0.3183622819835015	300000000.0	345000000.0
