지점명	address	distance	address2	num_review	지점명2
스타벅스 대구만촌DT점	만촌동 853-3	0.2550503096962727	대구광역시 수성구 달구벌대로525길 14-21	17765	모명재
스타벅스 대구만촌DT점	만촌동 853-3	1.6295433034380562	대구광역시 수성구 달구벌대로492길 15	0	물레책방
스타벅스 대구만촌DT점	만촌동 853-3	2.0635092107840403	대구광역시 수성구 청호로 250-11	2879	청호서원
스타벅스 대구상동DT점	상동 415-1	0.32672465150184354	대구광역시 수성구 용학로 35-5	89180	수성못 유원지
스타벅스 대구상동DT점	상동 415-1	0.3749033448970024	대구광역시 수성구 수성로12길 70	3454	봉산서원(대구)
스타벅스 대구상동DT점	상동 415-1	0.7465789293649454	대구광역시 남구 용두2길 43	3327	공룡공원
스타벅스 대구상인DT점	상인동 54-3 1~2층	1.0640348255603915	대구광역시 달서구 상인로 134-13	16333	열락당
스타벅스 대구상인DT점	상인동 54-3 1~2층	1.0744469293408303	대구광역시 달서구 송현로7길 32	3182	낙동서원
스타벅스 대구상인DT점	상인동 54-3 1~2층	1.4823259771330513	대구광역시 달서구 상인로18길 29	15743	인산정사
스타벅스 대구성서IC DT점	용산동 410-9 12	1.1476255049710335	대구광역시 달서구 새방로 21	28858	병암서원
스타벅스 대구성서IC DT점	용산동 410-9 12	1.2941779190850604	대구광역시 달서구 선원로33길 101	3163	용강서원
스타벅스 대구성서IC DT점	용산동 410-9 12	1.4126205254776592	대구광역시 달서구 선원로33안길 66	4948	와룡산(대구)
스타벅스 대구수성네거리DT점	수성동4가 1021-8	0.9810092060449414	대구광역시 중구 달구벌대로450길	26023	김광석 길 (김광석다시그리기길)
스타벅스 대구수성네거리DT점	수성동4가 1021-8	1.3268017629393412	대구광역시 수성구 달구벌대로492길 15	0	물레책방
스타벅스 대구수성네거리DT점	수성동4가 1021-8	1.3618816828604616	대구광역시 동구 동대구로 461	3325	대구경북디자인센터
스타벅스 대구수성도서관DT점	만촌동 1329-17 1, 33, 34	0.5366787191816488	대구광역시 동구 효신로 88	2263	바운스 트램폴린파크(대구신세계점)
스타벅스 대구수성도서관DT점	만촌동 1329-17 1, 33, 34	0.7774463817453175	대구광역시 동구 효목동	36306	대구 고모령비
스타벅스 대구수성도서관DT점	만촌동 1329-17 1, 33, 34	1.0083970205690356	대구광역시 수성구 화랑로42길 31	17532	독무재
스타벅스 대구앞산DT점	대명동 493-38	0.4519944582116054	대구광역시 남구 안지랑로16길 67	44017	안지랑 곱창골목
스타벅스 대구앞산DT점	대명동 493-38	0.6055614829543037	대구광역시 남구 대명동	28745	안일사(대구)
스타벅스 대구앞산DT점	대명동 493-38	0.6604754166590426	대구광역시 남구 대명로 지하 141	0	앞산카페거리
스타벅스 대구영대병원역DT점	봉덕동 595-7	0.9338357281126765	대구광역시 남구 이천로29길 28-1	4292	이천동 99계단 벽화마을
스타벅스 대구영대병원역DT점	봉덕동 595-7	1.1058257646198941	대구광역시 남구 명덕로54길 31	21431	서봉사
스타벅스 대구영대병원역DT점	봉덕동 595-7	1.5073770474508328	대구광역시 남구 계명중앙1길 54	1757	대명공연문화거리
스타벅스 대구월곡DT점	상인동 620	0.5797522394984873	대구광역시 달서구 상인로 134-13	16333	열락당
스타벅스 대구월곡DT점	상인동 620	0.6357221123277184	대구광역시 달서구 송현로7길 32	3182	낙동서원
스타벅스 대구월곡DT점	상인동 620	0.6883568687040961	대구광역시 달서구 상인로18길 29	15743	인산정사
스타벅스 대구중동DT점	대구 수성구 희망로24길 24	0.8444931080153572	대구광역시 수성구 들안로 109-1	20860	들안길먹거리타운
스타벅스 대구중동DT점	대구 수성구 희망로24길 24	1.2033680583969508	대구광역시 수성구 신천동로 117	34064	이공제비 및 군수이후범선영세불망비
스타벅스 대구중동DT점	대구 수성구 희망로24길 24	1.4687032806833105	대구광역시 수성구 수성로12길 70	3454	봉산서원(대구)
스타벅스 대구중동네거리DT점	중동 184-4	0.247517395595174	대구광역시 수성구 들안로 109-1	20860	들안길먹거리타운
스타벅스 대구중동네거리DT점	중동 184-4	0.8436083126986158	대구광역시 수성구 신천동로 117	34064	이공제비 및 군수이후범선영세불망비
스타벅스 대구중동네거리DT점	중동 184-4	0.8929098323436847	대구광역시 수성구 수성로12길 70	3454	봉산서원(대구)
스타벅스 대구칠곡대로DT점	태전동 1049-2	1.1267164227099469	대구광역시 북구 구암로21길 41	2001	구천서원(대구)
스타벅스 대구칠곡대로DT점	태전동 1049-2	1.5402423203096487	대구광역시 북구 매천로37길 48	2487	매양서원
스타벅스 대구칠곡대로DT점	태전동 1049-2	2.0575157441392795	대구광역시 북구 구암동	36039	운암지 수변공원
스타벅스 대구칠성DT점	칠성동2가 371-5	0.4194552498952378	대구광역시 북구 태평로 161	5460	대구 중구 골목투어버스 (청라버스)
스타벅스 대구칠성DT점	칠성동2가 371-5	0.9091699606343704	대구광역시 중구 경상감영길 99	50417	경상감영공원
스타벅스 대구칠성DT점	칠성동2가 371-5	1.246482710265	대구광역시 중구 동덕로36길 9-12	7160	동인찜갈비골목
스타벅스 대구침산DT점	침산동 245-1	1.3473481542972094	대구광역시 북구 태평로 161	5460	대구 중구 골목투어버스 (청라버스)
스타벅스 대구침산DT점	침산동 245-1	1.4122218510635518	대구광역시 북구 연암공원로17길 20	16358	구암서원
스타벅스 대구침산DT점	침산동 245-1	1.6588022217786207	대구광역시 중구 북성로 19-1	28545	대성사(대구)
스타벅스 대구평리DT점	평리동 1407-7	0.8694208424152271	대구광역시 서구 국채보상로 136	1721	한국섬유개발연구원 (텍스토피아관)
