지점명	mac_name	distance
스타벅스 오산갈곶DT점	맥도날드 오산DT점	1.2225919200447914
스타벅스 온천장역DT점	맥도날드 부산온천SK DT점	2.9066222291635846
스타벅스 용인김량장DT점	맥도날드 용인시청DT점	3.20168993372352
스타벅스 용인동백DT점	맥도날드 용인동백DT점	0.12391919491542915
스타벅스 용인마북DT점	맥도날드 용인마북DT점	0.8905569098137054
스타벅스 용인보라DT점	맥도날드 수원망포DT	3.667862240085572
스타벅스 용인상하DT점	맥도날드 용인동백DT점	1.5560823228405831
스타벅스 용인시청DT점	맥도날드 용인시청DT점	0.3579176406317051
스타벅스 울산MBC DT점	맥도날드 울산삼산DT	2.1825969388443496
스타벅스 울산남구청DT점	맥도날드 울산삼산로DT점	0.9189964927818473
스타벅스 울산도산사거리DT점	맥도날드 울산삼산로DT점	0.7161988453654241
스타벅스 울산북구청DT점	맥도날드 울산삼산DT	4.861905628955563
스타벅스 울산시청사거리DT점	맥도날드 울산옥동	1.1577292040046248
스타벅스 울산정자비치DT점	맥도날드 울산호계SK점	8.721926789700904
스타벅스 울산중리사거리DT점	맥도날드 울산삼산DT	0.13170074324420555
스타벅스 울산호계DT점	맥도날드 울산호계SK점	0.252622600568339
스타벅스 원당DT점	맥도날드 고양원당DT점	3.855790855865708
스타벅스 원주명륜DT점	맥도날드 원주단구DT점	1.0568794806524435
스타벅스 원주반곡DT점	맥도날드 원주단구DT점	3.614118592279917
스타벅스 을숙도강변DT점	맥도날드 부산하단DT점	1.6186208064913359
스타벅스 의왕청계DT점	맥도날드 의왕오전DT점	4.466559691253264
스타벅스 의정부녹양DT점	맥도날드 의정부녹양DT점	0.24833404974943116
스타벅스 의정부신곡DT점	맥도날드 만가대DT점	2.85187900394117
스타벅스 의정부예술의전당DT점	맥도날드 의정부금오DT점	1.6766905637033185
스타벅스 의정부용현DT점	맥도날드 만가대DT점	1.2771989152914662
스타벅스 의정부회룡역DT점	맥도날드 의정부금오DT점	2.8263162961946664
스타벅스 이천사음DT점	맥도날드 이천DT점	4.3501385857496695
스타벅스 이천증포DT점	맥도날드 이천DT점	2.5857355452910737
